Title,Price,Brand,Model,Year of Manufacture,Engine capacity,Mileage,Bike Type,Condition,Trim / Edition,Location,URL
Bajaj Pulsar 135 2015,"Rs 350,000",Bajaj,Pulsar 135,2015,135 cc,"76,476 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/bajaj-pulsar-135-2015-for-sale-kurunegala-345
Hero Pleasure Plus 2003,"Rs 210,000",Hero,Pleasure Plus,2003,100 cc,"190,000 km",Motorbikes,Used,,Trincomalee City,https://ikman.lk/en/ad/hero-pleasure-plus-2003-for-sale-trincomalee
Yamaha FZs V2 2017,"Rs 805,000",Yamaha,FZs V2,2017,149 cc,"23,000 km",Motorbikes,Used,Yamaha,Wennappuwa,https://ikman.lk/en/ad/yamaha-fz-s-ver-20-2017-for-sale-puttalam
Yamaha Ray ZR 2026,"Rs 270,000",Yamaha,Ray ZR,2026,125 cc,0 km,Scooters,Brand New,,Ja-Ela,https://ikman.lk/en/ad/yamaha-ray-zr-2026-for-sale-gampaha-8
Yadea T5 2025,"Rs 400,000",Yadea,T5,2025,800 cc,"4,495 km",E-bikes,Used,Yadea,Kalutara City,https://ikman.lk/en/ad/yadea-t5-marble-white-2025-for-sale-kalutara
Bajaj Pulsar NS200 2026,"Rs 303,145",Bajaj,Pulsar NS200,2026,200 cc,0 km,Motorbikes,Brand New,Bajaj,Colombo 14,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2026-for-sale-colombo-25
Bajaj Pulsar NS200 Brand New 2026,"Rs 303,145",Bajaj,Pulsar NS200,2026,200 cc,0 km,Motorbikes,Brand New,Brand New,Colombo 13,https://ikman.lk/en/ad/bajaj-pulsar-ns200-brand-new-2026-for-sale-colombo-60
Yamaha Ray ZR Street Rally 2018,"Rs 490,000",Yamaha,Ray ZR,2018,113 cc,"42,000 km",Scooters,Used,Street Rally,Katugastota,https://ikman.lk/en/ad/yamaha-ray-zr-street-rally-2018-for-sale-kandy-13
Honda Dio 2026,"Rs 810,000",Honda,Dio,2026,110 cc,200 km,Scooters,Used,dio,Kalmunai,https://ikman.lk/en/ad/honda-dio-2026-for-sale-ampara
TVS Ntorq 125 2026,"Rs 179,900",TVS,Ntorq 125,2026,125 cc,0 km,Scooters,Brand New,TVS,Colombo 10,https://ikman.lk/en/ad/tvs-ntorq-125-2026-for-sale-colombo-490
